url,domain,quality,claim_count,origin
https://oilgas-info.jogmec.go.jp/_res/projects/default_project/_page_/001/010/410/4_23_en_2025_mitsubishi.pdf,oilgas-info.jogmec.go.jp,primary,5,deep-research
https://www.mitsubishicorp.com/jp/en/about/project/montney-shale-gas/,www.mitsubishicorp.com,primary,4,deep-research
https://www.bloomberg.com/news/articles/2025-08-28/mitsubishi-corp-says-berkshire-hathaway-s-stake-rises-to-10-23-meutunbj,www.bloomberg.com,unreliable,0,deep-research
https://www.cnbc.com/2025/03/17/buffett-hikes-stakes-in-five-japanese-trading-houses-to-almost-10percent-each.html,www.cnbc.com,secondary,4,deep-research
https://www.japantimes.co.jp/business/2025/12/27/markets/buffett-japan-trading-houses/,www.japantimes.co.jp,secondary,3,deep-research
https://www.cnbc.com/2025/08/28/berkshire-raises-stake-in-japans-mitsubishi-above-10percent.html,www.cnbc.com,secondary,4,deep-research
https://www.cnbc.com/2020/08/30/warren-buffetts-berkshire-hathaway-buys-stakes-in-japans-five-leading-trading-companies.html,www.cnbc.com,secondary,5,deep-research
https://www.ainvest.com/news/berkshire-hathaway-strategic-deepening-stake-japan-mitsubishi-corp-2508/,www.ainvest.com,unreliable,0,deep-research
https://www.cnbc.com/2025/10/11/berkshires-japanese-stock-positions-top-30-billion.html,www.cnbc.com,secondary,5,deep-research
https://www.cnn.com/2023/11/01/investing/munger-interview-buffett-japan-investment-intl-hnk/index.html,www.cnn.com,unreliable,0,deep-research
https://www.mitsubishicorp.com/us/en/mca/bg/natural-gas-group/,www.mitsubishicorp.com,primary,5,deep-research
https://journal.jogmec.go.jp/content/300799935.pdf,journal.jogmec.go.jp,primary,5,deep-research
https://www.morningstar.com/stocks/why-warren-buffett-likes-japanese-trading-companies,www.morningstar.com,unreliable,0,deep-research
https://newsmagazine.poscointl.com/?p=3606,newsmagazine.poscointl.com,blog,5,deep-research
https://media.skens.com/4520,media.skens.com,unreliable,0,deep-research
https://www.skens.com/sk/content/view.do?cate=energy&m1=lngcondition,www.skens.com,primary,4,deep-research
https://newsmagazine.poscointl.com/?p=8620,newsmagazine.poscointl.com,primary,4,deep-research
https://hub.zum.com/invest_47/%EC%A2%85%ED%95%A9%EC%83%81%EC%82%AC%EB%8A%94-%EB%B6%80%ED%99%9C%ED%95%98%EB%8A%94%EA%B0%80-%ED%95%9C%EA%B5%AD-%EC%9D%BC%EB%B3%B8-%EC%A2%85%ED%95%A9%EC%83%81%EC%82%AC-%EB%B9%84%EA%B5%90-%EC%9B%90%EC%9E%90%EC%9E%AC-%EA%B3%A1%EB%AC%BC-%EA%B4%80%EB%A0%A8%EC%A3%BC-105454,hub.zum.com,unreliable,0,deep-research
https://foreignpolicy.com/2026/06/02/gulf-energy-iran-oil-crisis-japan-strategy-nuclear/,foreignpolicy.com,secondary,5,deep-research
https://orfme.org/expert-speak/how-middle-east-turmoil-reverberates-through-japans-energy-system/,orfme.org,primary,5,deep-research
https://en.wikipedia.org/wiki/2026_Strait_of_Hormuz_crisis,en.wikipedia.org,secondary,5,deep-research
https://www.csis.org/analysis/what-are-implications-iran-conflict-japan,www.csis.org,primary,5,deep-research
https://www.washingtoninstitute.org/policy-analysis/how-iran-israel-conflict-affecting-gulf-energy-and-maritime-security,www.washingtoninstitute.org,primary,5,deep-research
https://ieefa.org/resources/japans-diversified-lng-procurement-strategy-cannot-fully-shield-it-global-price-spikes,ieefa.org,primary,5,deep-research
https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/,www.mitsubishicorp.com,ontology-evidence,,deep-research+ontology
https://www.mitsubishicorp.com/jp/en/explore/project-stories/lng-canada/,www.mitsubishicorp.com,ontology-evidence,,deep-research+ontology
https://www.mitsubishicorp.com/jp/en/news/release/2025/20250701001.html,www.mitsubishicorp.com,ontology-evidence,,deep-research+ontology
https://www.mitsubishicorp.com/jp/en/news/release/2026/20260116002.html,www.mitsubishicorp.com,ontology-evidence,,deep-research+ontology
https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence,www.petronas.com,ontology-evidence,,deep-research+ontology
https://www.mitsubishicorp.com/jp/en/about/project/brunei-lng/,www.mitsubishicorp.com,ontology-evidence,,deep-research+ontology
https://www.kiet.re.kr/research/issueView?issue_no=846,www.kiet.re.kr,ontology-evidence,,ontology
https://www.yna.co.kr/view/AKR20260423113300003,www.yna.co.kr,ontology-evidence,,deep-research+ontology
https://www.berkshirehathaway.com/news/jun1923.pdf,www.berkshirehathaway.com,ontology-evidence,,ontology
https://www.berkshirehathaway.com/2024ar/2024ar.pdf,www.berkshirehathaway.com,ontology-evidence,,ontology
file://sources-original/미쓰비시상사-Equity-Research.html,local-self-analysis,secondary,8,self-analysis-2026
